X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
1291,"narrow, tight crowded",8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,hrăt
1292,rattan,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,hre
1293,a kind of snake the size of rattan,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,"hre, 'bih hre"
1294,to be quiet,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,hreh
1295,to cough all the time,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,"hrek, hiĕn hrek"
1296,to twist off fruit with forked stick,38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,FALSE,hrep
1297,hundred,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,hrĕng
1298,dry,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,hrĕng
1299,to be hidden well,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,hrĕp
1300,the spirit that makes rice grow,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,"hri, yang hri"
1301,to string fish on a line,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,hring
1302,"to suck, magnetism",8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,hrip
1303,small conical fish trap,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,hrok
1304,to push rice into bamboo tube,38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,FALSE,hrok
1305,to pull out from hair,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,hrot
1306,of swelling to recede,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,hrơ
1307,"to be afraid, shy, unaccustomed to",27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,hrơ
1308,to be careful,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,hrơih
1309,of water to seep away dry up go down,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,hrỡ
1310,"of birds to alight on a tree, perch",5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,hrỡp
1311,to catch many fish with hands,43,43_fish_bite_meat_catch,"['fish', 'bite', 'meat', 'catch', 'lick', 'by', 'flesh', 'hand', 'skin', 'scrape']","['to hoe, plow, of fish to bite ', 'to catch fish with', 'trap for fish made by putting poles in pond, lake to make place for them to live and then damming up after']",fish - bite - meat - catch - lick - by - flesh - hand - skin - scrape,FALSE,hrỡp
1312,to pay damages,47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,hrŭ
1313,"to pull on, to break",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,hrŭch
1314,to put on clothes,47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,hrŭk
1315,"to be absent from home, school",2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,hrŭl
1316,after sickness when feeling almost well to have a bath and then get sick and die,41,41_sick_be_tired_sober,"['sick', 'be', 'tired', 'sober', 'drunk', 'warm', 'cold', 'wake', 'sweaty', 'after']","['to become sick of', 'after sickness when feeling almost well to have a bath and then get sick and die ', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']",sick - be - tired - sober - drunk - warm - cold - wake - sweaty - after,TRUE,"hrŭt, lôch hrŭt"
1317,silver,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,hu
1318,medium-sized monkey--male is black female white,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,hua
1319,to gradually become less,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,huach
1320,"to redeem, to return something precious",20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,huai
1321,"tendons, veins",25,25_surfaced_shaped_straw_roof,"['surfaced', 'shaped', 'straw', 'roof', 'large', 'blanket', 'skin', 'gongs', 'type', 'pitch']","['palm-shaped, spoke-shaped as rays of sun at dawn', 'to describe flat-surfaced object in flight', 'to describe flat-surfaced object']",surfaced - shaped - straw - roof - large - blanket - skin - gongs - type - pitch,FALSE,huan
1322,bad-tempered woman,27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,huan
1323,to go somewhere for fun,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,huang
1324,to go somewhere for fun,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,chă huang
1325,"used with a verb it has a negative effect, used alone it means ""never mind"", ""no problem""",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,huay
1326,"""but nothing happened"" (although we thought something would)",31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,huay-huai
1327,earthworm,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,huăr
1328,"to drink (juices, coffee) ",46,46_eat_eating_food_drink,"['eat', 'eating', 'food', 'drink', 'drinking', 'spirits', 'bad', 'for', 'appetite', 'hungry']","['to get hungry for when seeing someone else eat', 'to eat slowly, eat a little', 'to eat ']",eat - eating - food - drink - drinking - spirits - bad - for - appetite - hungry,FALSE,huch
